Event_ID,Invitation_QR_ID,Event_Type,Total_Guests,Estimated_Food_Portions,Transport_Mode,Parking_Required,Estimated_Parking_Vehicles,Room_Required,Room_Type,Rooms_Required_Count,Stay_Duration_Days,RSVP_Status,Distance_km,Eco_Plate_Option,Food_Waste_Estimate_kg,Coming_From,Vehicle_Type,Arrival_Time_Slot,Parking_Zone,Checkin_Status
EVZGPF0G,QRAY4TH1,Baby Shower,551,644,Bike,1,200,1,Single,53,0,Attending,180,1,15.58,Coimbatore,None,Morning,D,Not Checked-In
EVYQE9P9,QRT6YADN,Wedding,972,973,Car,1,426,1,Single,3,3,Not Attending,144,1,38.54,Coimbatore,Bike,Morning,A,Not Checked-In
EVGOX3OD,QR9UGDSU,Baby Shower,774,851,Cab,1,270,0,Double,11,3,Attending,136,1,68.16,Erode,None,Morning,B,Not Checked-In
EV9RC7YG,QREUQGYL,Birthday,488,511,Bike,0,216,1,Double,131,1,Not Attending,80,0,70.11,Chennai,None,Afternoon,A,Not Checked-In
EVKWISDY,QRJBANGX,Birthday,649,678,Bus,0,288,0,Family,24,3,Not Attending,245,1,35.72,Salem,Bike,Morning,D,Not Checked-In
EVBVTZ36,QR6BXA4S,Engagement,883,891,Car,0,369,0,Family,110,2,Not Attending,212,1,62.39,Hyderabad,Bike,Morning,B,Not Checked-In
EVJJU8DB,QRCIWMHP,Anniversary,573,594,Walk,0,145,1,Single,106,2,Maybe,277,1,13.04,Trichy,Bike,Evening,D,Not Checked-In
EVSUPTJG,QRAR9VL4,Engagement,1042,1065,Bus,1,310,0,Single,20,1,Maybe,299,0,30.87,Coimbatore,Bike,Afternoon,D,Not Checked-In
EVESN6SZ,QRL6D4RX,Anniversary,969,975,Cab,0,272,0,Family,71,2,Attending,83,0,70.87,Tirunelveli,None,Evening,A,Not Checked-In
EVA70P97,QR06MXF8,Anniversary,567,524,Cab,1,207,1,Single,135,2,Attending,138,0,64.54,Tirunelveli,Car,Afternoon,D,Not Checked-In
EVO4X55Q,QRYN1AIG,Anniversary,1191,1183,Bus,1,514,0,Single,67,3,Not Attending,249,0,11.7,Trichy,Bike,Morning,A,Not Checked-In
EVPOBIWK,QRTQGZPU,Birthday,885,932,Bike,0,418,1,Single,28,0,Attending,45,0,9.84,Chennai,Car,Morning,C,Not Checked-In
EV7XL1LK,QRFEYTMB,Engagement,1047,1073,Bus,1,399,0,,68,1,Not Attending,207,0,58.32,Tirunelveli,Car,Afternoon,D,Not Checked-In
EVE9WJYD,QRSG2OEH,Housewarming,587,629,Walk,0,205,1,,131,2,Maybe,183,0,12.64,Pondicherry,Bike,Evening,A,Not Checked-In
EVQCRJF0,QRAJOKHH,Birthday,896,868,Cab,1,399,1,Family,12,0,Maybe,90,0,63.24,Salem,Bike,Morning,B,Not Checked-In
EV864DZA,QRAVAJT0,Wedding,829,783,Cab,1,224,1,Single,28,3,Attending,144,0,54.82,Tirunelveli,Bike,Evening,B,Not Checked-In
EVOLUYR1,QRXEZOW7,Wedding,1007,1040,Car,1,266,0,Family,67,1,Maybe,206,1,55.94,Chennai,Bike,Evening,B,Not Checked-In
EV42CUUW,QRXGGM6K,Housewarming,1006,989,Bus,1,333,1,Double,111,1,Not Attending,276,0,23.78,Coimbatore,Car,Evening,B,Not Checked-In
EV85ALTM,QR7J3EDY,Birthday,779,729,Bike,1,201,0,Double,94,1,Maybe,240,0,9.68,Trichy,Car,Morning,C,Not Checked-In
EVNZKZJ9,QRQ98RQK,Wedding,510,478,Walk,1,186,0,Single,70,3,Attending,294,1,19.48,Bangalore,Car,Afternoon,D,Not Checked-In
EVV5EIH1,QR9B16NH,Housewarming,1017,1085,Car,0,375,1,Double,114,2,Maybe,125,1,16.99,Tirunelveli,Car,Evening,B,Not Checked-In
EVSLC0IU,QRQD5ENI,Baby Shower,434,397,Car,0,129,1,Family,27,1,Attending,247,1,73.44,Trichy,None,Evening,A,Not Checked-In
EVHVVXCZ,QR0V4GV0,Baby Shower,1015,1008,Bike,1,353,0,Double,1,1,Maybe,234,1,13.39,Madurai,None,Evening,D,Not Checked-In
EVO8YB5L,QRD5YM0G,Housewarming,1007,1001,Cab,1,337,0,Family,126,3,Attending,83,0,35.92,Trichy,Car,Morning,A,Not Checked-In
EV326HD6,QRCDL974,Engagement,493,482,Bus,1,214,1,Double,25,1,Not Attending,179,1,7.11,Hyderabad,Bike,Afternoon,A,Not Checked-In
EVECKYOX,QRM0TPBR,Baby Shower,816,810,Cab,0,328,0,Double,24,0,Not Attending,82,1,27.82,Pondicherry,Bike,Evening,A,Not Checked-In
EV9GQH9M,QR6R2BB8,Engagement,335,404,Bike,0,129,0,,116,0,Attending,33,0,48.51,Erode,Car,Morning,A,Not Checked-In
EVXJYLSP,QREG89NW,Engagement,598,572,Bike,0,239,1,Single,129,0,Not Attending,87,1,57.03,Bangalore,None,Afternoon,D,Not Checked-In
EVJPB9EW,QRRWSR6W,Anniversary,1178,1222,Walk,1,391,0,Family,13,1,Not Attending,289,1,77.66,Coimbatore,Car,Afternoon,D,Not Checked-In
EV9JPIZE,QREWQK9S,Birthday,652,714,Walk,1,211,0,Double,1,1,Not Attending,94,0,64.33,Bangalore,Bike,Afternoon,D,Not Checked-In
EVGN5G7W,QRRIQJHP,Anniversary,801,792,Car,0,246,1,,70,3,Attending,36,1,47.9,Bangalore,Car,Evening,C,Not Checked-In
EVBRVTKN,QR9I93X2,Birthday,801,866,Car,1,208,0,Double,77,0,Maybe,55,0,77.61,Pondicherry,None,Morning,C,Not Checked-In
EVGV64NE,QRPMN80Z,Anniversary,689,645,Bike,0,281,0,,141,3,Attending,38,1,55.22,Pondicherry,Car,Afternoon,A,Not Checked-In
EVO0EPSG,QR5LJG04,Anniversary,548,502,Bus,1,209,1,Double,143,2,Attending,148,1,68.81,Erode,Car,Morning,B,Not Checked-In
EVGR0BCG,QR0EJF2D,Wedding,784,800,Bike,1,210,1,Single,34,2,Maybe,164,1,9.66,Pondicherry,None,Evening,A,Not Checked-In
EV0F9BFP,QRABDQO3,Engagement,423,469,Cab,1,107,0,Double,19,2,Attending,79,0,77.0,Erode,Car,Morning,D,Not Checked-In
EVHWDIL2,QRVS4AAO,Housewarming,311,262,Walk,0,115,0,,28,0,Not Attending,210,1,17.88,Pondicherry,None,Morning,B,Not Checked-In
EV6BK4GG,QRUS1M8F,Baby Shower,433,441,Car,0,135,0,Single,31,1,Attending,20,1,11.56,Erode,None,Afternoon,C,Not Checked-In
EVROW1S7,QR8YU4OS,Anniversary,1174,1204,Bus,1,513,1,Family,129,2,Maybe,177,1,39.44,Salem,Bike,Morning,C,Not Checked-In
EVOM0L88,QR9KU5L2,Housewarming,999,996,Car,0,412,1,,60,2,Maybe,134,1,52.6,Salem,None,Evening,A,Not Checked-In
EVIWU0HV,QRQYD1KS,Engagement,318,340,Car,1,156,1,Family,112,0,Not Attending,236,0,69.01,Coimbatore,None,Afternoon,A,Not Checked-In
EVEHPQ7G,QR72RK75,Engagement,886,932,Walk,0,362,1,Single,16,3,Not Attending,84,0,73.09,Coimbatore,Car,Afternoon,D,Not Checked-In
EVL2O8YF,QRGRPXPW,Housewarming,818,845,Walk,1,334,1,Single,87,0,Attending,88,1,42.71,Hyderabad,Bike,Evening,D,Not Checked-In
EVJ591ZC,QRD5EHS4,Housewarming,818,827,Bike,1,330,0,Double,30,1,Attending,215,1,72.35,Madurai,Car,Evening,C,Not Checked-In
EVOQHKBZ,QRWQKFPD,Housewarming,900,965,Bus,0,373,1,,134,2,Not Attending,54,0,11.56,Madurai,Bike,Morning,D,Not Checked-In
EVP2G2UV,QROPNB84,Birthday,669,620,Car,0,225,1,,52,0,Attending,32,1,10.69,Hyderabad,Bike,Morning,C,Not Checked-In
EVYGOQAB,QRU2PHAN,Housewarming,867,872,Walk,1,323,1,,129,2,Attending,222,0,27.17,Hyderabad,Car,Afternoon,C,Not Checked-In
EVR9E03M,QRRSZV56,Wedding,398,470,Bike,0,104,0,Single,126,3,Not Attending,65,0,68.97,Coimbatore,Bike,Evening,A,Not Checked-In
EVA6I2NJ,QRS2F1RB,Housewarming,1044,1002,Bike,1,309,1,Double,9,3,Maybe,140,1,64.2,Coimbatore,None,Morning,A,Not Checked-In
EVUQ3SST,QR7D4RF4,Birthday,1048,1058,Car,0,281,0,Double,120,3,Not Attending,92,1,55.32,Tirunelveli,None,Afternoon,B,Not Checked-In
EVBRKVGW,QRZ4Q1FH,Baby Shower,409,417,Car,1,171,1,Double,81,2,Attending,130,0,28.83,Pondicherry,Bike,Afternoon,A,Not Checked-In
EV5MCPG6,QR59PA09,Baby Shower,1040,1116,Bus,1,410,0,Single,23,0,Not Attending,215,0,57.13,Chennai,None,Afternoon,C,Not Checked-In
EVEH9MAM,QR4WH0UT,Wedding,404,443,Walk,1,105,0,Double,2,0,Attending,78,0,66.02,Erode,Car,Afternoon,B,Not Checked-In
EVA2B9YV,QRFJV0Z7,Birthday,665,747,Car,0,302,0,Double,72,2,Attending,149,0,57.44,Coimbatore,Bike,Afternoon,B,Not Checked-In
EV335CYI,QR6SEVS6,Engagement,895,865,Bus,1,438,1,,143,0,Maybe,240,1,13.5,Tirunelveli,Bike,Evening,D,Not Checked-In
EVNH08QU,QRBGHTS0,Anniversary,837,831,Bus,0,268,0,,60,1,Maybe,258,0,72.51,Hyderabad,Bike,Evening,A,Not Checked-In
EV497V5X,QRRGCSZX,Engagement,1082,1151,Bike,1,450,1,,110,0,Maybe,200,0,25.34,Tirunelveli,Bike,Evening,C,Not Checked-In
EVFVE0IJ,QR9AELOY,Birthday,550,552,Car,0,226,1,Family,69,3,Maybe,21,1,45.95,Tirunelveli,Bike,Morning,B,Not Checked-In
EVUYACYB,QRG2J3JC,Birthday,1170,1127,Cab,1,333,0,Family,85,3,Not Attending,20,1,68.8,Trichy,Bike,Afternoon,B,Not Checked-In
EVYKNTS1,QRUXQ8UA,Engagement,597,657,Walk,0,195,1,Single,44,3,Maybe,71,1,35.91,Coimbatore,Bike,Morning,D,Not Checked-In
EVV3VPQ7,QRX89T6U,Baby Shower,615,675,Bus,1,197,0,Single,23,2,Attending,144,1,57.22,Salem,Bike,Afternoon,A,Not Checked-In
EV4KHJ0D,QR3FBWB9,Anniversary,940,975,Cab,0,295,0,Single,60,0,Maybe,113,0,27.36,Pondicherry,Bike,Evening,B,Not Checked-In
EV4BK32H,QRV3V45H,Baby Shower,638,697,Bike,0,259,0,Double,78,0,Maybe,223,1,43.03,Coimbatore,Bike,Evening,B,Not Checked-In
EVN21M3H,QRVU3H9M,Birthday,977,972,Bus,0,358,1,Single,121,1,Not Attending,113,0,73.03,Madurai,None,Afternoon,C,Not Checked-In
EVXAVSP9,QRTOKO6A,Wedding,558,631,Bus,1,217,0,Single,5,0,Attending,155,1,9.75,Chennai,None,Morning,A,Not Checked-In
EVT98XY0,QRLMEW8Y,Anniversary,469,560,Cab,0,211,1,Single,54,2,Not Attending,290,1,64.44,Trichy,None,Afternoon,C,Not Checked-In
EVMPFF3D,QRRXV838,Anniversary,899,873,Cab,1,350,0,Family,147,0,Not Attending,130,0,69.52,Coimbatore,None,Afternoon,D,Not Checked-In
EVAAAQ14,QR1VFUO9,Housewarming,584,568,Cab,1,170,0,Double,104,0,Not Attending,119,1,9.03,Erode,Car,Morning,C,Not Checked-In
EVD4DWCS,QRFOF230,Housewarming,450,461,Cab,1,218,1,Family,144,0,Attending,181,1,29.13,Hyderabad,Bike,Evening,C,Not Checked-In
EV32TNMI,QR62NET1,Anniversary,941,921,Cab,0,255,1,Family,133,3,Maybe,118,1,50.25,Chennai,Car,Evening,B,Not Checked-In
EVI50EYE,QRIWW1I5,Housewarming,494,591,Cab,1,125,1,,131,0,Attending,246,1,16.4,Chennai,Bike,Morning,A,Not Checked-In
EVOS4CO8,QR8F0DZH,Anniversary,1126,1207,Bike,0,550,1,,87,2,Maybe,32,0,22.0,Salem,None,Morning,B,Not Checked-In
EVXP9DW9,QRLRHNCH,Birthday,468,458,Bike,0,203,0,Single,48,2,Attending,292,0,51.87,Hyderabad,None,Morning,C,Not Checked-In
EV0DO629,QRUC9KS5,Baby Shower,795,749,Bike,1,356,0,Single,25,2,Maybe,256,0,28.4,Chennai,None,Morning,D,Not Checked-In
EV00U4CL,QRO5PDSK,Engagement,946,989,Cab,1,406,1,Family,88,0,Not Attending,171,0,48.2,Salem,Bike,Afternoon,D,Not Checked-In
EV1Q5PM5,QR5RNB9I,Housewarming,846,897,Bus,0,375,1,Family,74,2,Attending,292,0,44.18,Chennai,Bike,Evening,D,Not Checked-In
EVFT2GOY,QRPYR78D,Housewarming,612,637,Walk,0,198,0,Family,52,2,Maybe,100,1,54.44,Pondicherry,Car,Evening,C,Not Checked-In
EVMO3YU8,QR6JQCXB,Baby Shower,866,952,Bike,0,314,1,Family,138,0,Maybe,98,0,5.39,Hyderabad,Car,Afternoon,A,Not Checked-In
EVHRLFDC,QRRWVN5O,Engagement,507,512,Car,0,127,1,Double,30,1,Not Attending,232,1,48.65,Coimbatore,Bike,Afternoon,C,Not Checked-In
EV7UUENZ,QR2SRWYE,Anniversary,401,479,Bike,1,136,0,Double,136,3,Not Attending,196,0,24.58,Pondicherry,None,Evening,A,Not Checked-In
EVIUNHOW,QROYKC1H,Engagement,559,613,Bike,0,177,0,,40,1,Attending,51,0,7.71,Bangalore,None,Evening,D,Not Checked-In
EVCVUVXR,QREE3SRZ,Housewarming,1050,1003,Bus,0,264,1,Single,147,1,Not Attending,13,0,56.36,Salem,Car,Evening,A,Not Checked-In
EVVN1JUN,QRC2CU7W,Housewarming,664,730,Bus,1,257,0,Single,95,2,Attending,151,1,19.18,Pondicherry,None,Evening,B,Not Checked-In
EVOSX0F4,QR8JBNNV,Engagement,469,537,Bike,0,156,1,Double,95,0,Attending,151,0,37.85,Pondicherry,Bike,Afternoon,A,Not Checked-In
EV5915T1,QRLEF5HL,Wedding,837,928,Bike,1,221,0,Single,86,2,Maybe,231,0,28.48,Salem,Bike,Evening,C,Not Checked-In
EV7RKFJG,QRAHVHB1,Birthday,711,794,Walk,1,244,0,Double,20,0,Not Attending,192,1,51.91,Pondicherry,None,Evening,C,Not Checked-In
EVR9974K,QRT5SRQ0,Baby Shower,419,486,Bus,1,155,0,Family,26,0,Maybe,129,1,49.12,Madurai,Car,Evening,D,Not Checked-In
EVWWEUSV,QRE5UGOJ,Anniversary,908,1003,Bus,0,372,0,Single,125,1,Attending,100,1,70.36,Tirunelveli,Car,Morning,B,Not Checked-In
EVTHY4WR,QRENNGWV,Housewarming,420,402,Car,0,178,1,Double,61,3,Maybe,152,0,5.99,Salem,Car,Afternoon,A,Not Checked-In
EV3JDMX9,QRSQUB9U,Anniversary,366,316,Bike,0,162,0,Double,47,1,Attending,43,0,13.74,Tirunelveli,Car,Afternoon,D,Not Checked-In
EVEEECH3,QR1KZXMI,Anniversary,1001,978,Bus,0,346,0,,17,2,Maybe,249,0,49.67,Trichy,Bike,Evening,B,Not Checked-In
EVT22ZP8,QRFDIY4X,Housewarming,748,759,Car,1,324,0,Single,66,1,Attending,180,1,6.08,Bangalore,None,Morning,D,Not Checked-In
EV4QK50E,QRFGSHH6,Wedding,811,861,Bus,1,388,0,,115,1,Attending,210,0,50.52,Erode,Bike,Morning,C,Not Checked-In
EVZZ4IN2,QR2EJF51,Birthday,543,599,Bike,0,156,0,Family,32,0,Attending,229,0,72.91,Salem,Car,Morning,B,Not Checked-In
EVYK4ZZ9,QRV7N7MR,Birthday,364,375,Walk,1,179,0,Double,132,0,Maybe,274,1,11.74,Coimbatore,Car,Evening,A,Not Checked-In
EV8ZC35V,QRKNFWON,Birthday,675,638,Bike,1,184,1,,111,0,Not Attending,69,0,68.1,Erode,Bike,Afternoon,B,Not Checked-In
EV1AS0B7,QR6IFHGG,Housewarming,1161,1175,Bus,1,381,0,Double,38,2,Maybe,61,0,11.47,Erode,None,Evening,D,Not Checked-In
EVQGCYUZ,QRX4TLH5,Baby Shower,1124,1211,Cab,0,446,1,Family,87,2,Not Attending,263,1,55.43,Madurai,None,Evening,A,Not Checked-In
EVF9IKNO,QRI5FKKS,Anniversary,551,504,Car,1,219,0,Single,148,0,Attending,76,0,5.74,Trichy,Car,Morning,A,Not Checked-In
EVIG7BSY,QR7898A4,Anniversary,890,981,Bus,0,433,0,Double,113,2,Attending,39,1,36.65,Madurai,None,Morning,D,Not Checked-In
EVYGH80T,QR4G6LO4,Baby Shower,690,765,Cab,1,304,0,Double,13,0,Attending,116,0,62.74,Bangalore,None,Evening,B,Not Checked-In
EV5QK81A,QR6JKVJT,Engagement,1148,1191,Bus,0,572,0,Single,24,3,Maybe,269,1,55.99,Chennai,Bike,Morning,C,Not Checked-In
EVDQHX3P,QRIDN4M3,Housewarming,738,722,Bike,0,274,0,Family,9,1,Attending,51,0,19.0,Trichy,Car,Afternoon,B,Not Checked-In
EVUY6DR4,QREP9VXZ,Birthday,488,499,Bus,1,127,0,Single,117,2,Not Attending,202,1,77.21,Trichy,None,Evening,D,Not Checked-In
EVB0FKJN,QROF90SE,Birthday,1137,1161,Bus,1,343,0,Family,112,2,Attending,236,1,48.21,Coimbatore,Car,Afternoon,B,Not Checked-In
EVQMSW7K,QRRKE6NA,Birthday,643,620,Cab,0,226,1,,49,2,Maybe,298,1,38.49,Coimbatore,Bike,Afternoon,D,Not Checked-In
EVK979KA,QRCPCMHV,Housewarming,1015,1016,Walk,1,309,0,Single,67,2,Attending,163,0,58.98,Tirunelveli,Car,Morning,D,Not Checked-In
EV6TL85M,QR9CAOP6,Housewarming,921,948,Bike,1,321,0,Double,37,2,Maybe,35,0,13.18,Tirunelveli,Bike,Afternoon,C,Not Checked-In
EVG8NNRE,QRX5OWYR,Anniversary,632,632,Bike,0,235,0,,125,1,Not Attending,113,1,36.71,Tirunelveli,Car,Evening,B,Not Checked-In
EV8LK3YV,QRS8SZM2,Engagement,655,698,Cab,0,253,0,Single,105,0,Not Attending,217,0,6.99,Bangalore,Car,Morning,B,Not Checked-In
EVFMTPKC,QRM406YW,Anniversary,1070,1077,Car,1,440,1,Double,70,0,Attending,100,0,28.23,Pondicherry,None,Morning,C,Not Checked-In
EVTB8XMT,QRNY11AF,Baby Shower,1035,1108,Walk,1,288,0,Double,69,3,Attending,31,0,11.72,Salem,None,Morning,B,Not Checked-In
EVV3HJB7,QRE2WT02,Anniversary,997,963,Bike,0,252,1,,82,3,Not Attending,270,1,52.41,Trichy,Car,Afternoon,D,Not Checked-In
EV6Z8D00,QR5XUP10,Wedding,574,603,Cab,1,229,1,,39,2,Maybe,77,1,45.12,Tirunelveli,None,Morning,B,Not Checked-In
EV2LIHC2,QR2AZM2H,Anniversary,966,959,Bike,1,445,1,Double,10,1,Attending,227,0,37.79,Trichy,Car,Afternoon,D,Not Checked-In
EVXUPPZ6,QRYK95B4,Wedding,1084,1132,Walk,0,474,0,Double,73,3,Not Attending,183,0,46.41,Bangalore,None,Morning,D,Not Checked-In
EVKQX1PU,QRBH73TJ,Wedding,425,393,Walk,1,210,0,Single,60,3,Maybe,246,0,65.83,Salem,Car,Morning,A,Not Checked-In
EVV95TZP,QRI97V2P,Wedding,1068,1150,Bike,1,290,1,Single,90,3,Maybe,183,1,35.82,Salem,None,Evening,B,Not Checked-In
EVCB64W1,QR9PXZME,Wedding,623,618,Bus,0,194,0,Double,58,3,Attending,54,1,20.06,Tirunelveli,Car,Morning,C,Not Checked-In
EVA2VOML,QRHRNPO7,Housewarming,1189,1207,Car,1,319,1,,119,1,Maybe,43,0,19.29,Madurai,Car,Afternoon,A,Not Checked-In
EV60PLP3,QR0LG8XH,Housewarming,633,616,Car,1,291,0,Single,72,2,Maybe,294,0,36.52,Madurai,Bike,Afternoon,D,Not Checked-In
EVL6IMKL,QRVDLNTW,Birthday,850,868,Walk,0,398,0,Single,85,3,Maybe,62,1,60.45,Pondicherry,None,Evening,D,Not Checked-In
EV0UX1XL,QRRCT3UZ,Anniversary,968,945,Walk,1,256,0,Family,100,2,Maybe,57,1,20.29,Erode,None,Evening,A,Not Checked-In
EVNTOH67,QRFVX4DW,Engagement,719,806,Car,1,350,0,Family,4,1,Not Attending,166,1,55.18,Pondicherry,None,Morning,B,Not Checked-In
EVJ7G580,QRXL16KF,Wedding,482,484,Car,0,201,0,Single,8,2,Not Attending,237,0,67.4,Coimbatore,None,Evening,C,Not Checked-In
EV47RDNI,QRJ2L3AL,Baby Shower,1028,1019,Walk,1,499,0,Family,32,3,Maybe,259,1,8.31,Bangalore,Car,Evening,A,Not Checked-In
EV8F033O,QRZA735R,Housewarming,904,860,Bus,1,304,1,Single,59,3,Not Attending,285,0,25.15,Hyderabad,Car,Afternoon,B,Not Checked-In
EVPYIVAU,QRDDS94P,Wedding,1151,1194,Cab,1,466,1,Double,81,1,Not Attending,263,0,35.03,Salem,Car,Morning,A,Not Checked-In
EVEGBFEF,QRUZ30SI,Wedding,474,436,Car,0,232,0,,124,3,Maybe,213,0,54.64,Pondicherry,None,Morning,D,Not Checked-In
EVVXR063,QR7X8X3S,Birthday,907,957,Car,1,344,0,Family,106,2,Attending,113,1,72.62,Salem,Bike,Morning,B,Not Checked-In
EVKJJGSL,QRQKPMV2,Housewarming,470,466,Car,0,133,1,,90,3,Attending,82,0,15.25,Chennai,None,Evening,D,Not Checked-In
EVQV579C,QRYGLIZ0,Engagement,1134,1189,Walk,0,295,0,Single,13,2,Maybe,193,1,79.31,Trichy,Car,Evening,B,Not Checked-In
EVV0RQUN,QROHK4IH,Anniversary,686,784,Car,0,255,1,Single,136,1,Attending,157,0,74.51,Erode,Car,Afternoon,B,Not Checked-In
EV3XRVEG,QRS91CEW,Wedding,1049,1024,Cab,0,373,0,Double,117,3,Not Attending,9,0,58.18,Salem,None,Afternoon,B,Not Checked-In
EV3VDALI,QRUL3DKT,Birthday,741,789,Cab,0,198,1,,140,1,Not Attending,159,0,11.78,Hyderabad,Car,Afternoon,D,Not Checked-In
EV08K0BH,QR0205FH,Wedding,473,445,Walk,0,199,1,Family,105,1,Not Attending,233,0,22.25,Pondicherry,Car,Afternoon,D,Not Checked-In
EVCGM3I2,QRFN7RYV,Engagement,544,527,Bus,0,233,1,Family,141,0,Not Attending,292,1,77.59,Hyderabad,Bike,Morning,C,Not Checked-In
EVEA3EVV,QRAS9156,Engagement,412,420,Cab,1,121,1,Single,109,3,Attending,3,0,6.07,Hyderabad,Bike,Evening,A,Not Checked-In
EV41BX72,QRC8KA10,Housewarming,776,823,Bike,0,364,0,Family,21,2,Not Attending,280,0,62.95,Bangalore,Bike,Evening,D,Not Checked-In
EV5HX3FS,QR5RT71S,Birthday,538,504,Bike,1,196,0,Double,131,0,Maybe,282,0,17.87,Coimbatore,None,Evening,D,Not Checked-In
EV73TQ8H,QRSROFW5,Baby Shower,965,1039,Car,0,271,0,,47,3,Maybe,107,0,39.85,Hyderabad,Bike,Evening,B,Not Checked-In
EV4CFOQB,QRV8NLRB,Housewarming,1128,1194,Cab,0,339,1,Double,62,1,Attending,45,0,5.13,Pondicherry,Bike,Morning,A,Not Checked-In
EVFTLH7U,QRS3U1AE,Anniversary,459,558,Bus,1,202,0,Single,8,1,Attending,180,0,14.18,Salem,None,Afternoon,A,Not Checked-In
EVHWOB3U,QRZ7PKFI,Housewarming,1101,1078,Walk,1,432,0,Family,54,2,Attending,259,1,43.51,Erode,None,Afternoon,C,Not Checked-In
EVYAIZDY,QRIW61L1,Wedding,698,754,Bike,0,276,1,,135,1,Attending,291,1,29.08,Erode,None,Evening,A,Not Checked-In
